0 "('Fullmetal Alchemist: Brotherhood', 'https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood')"
1 "('Gintama°', 'https://myanimelist.net/anime/28977/Gintama°')"
2 "('Shingeki no Kyojin Season 3 Part 2', 'https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2')"
3 "('Steins;Gate', 'https://myanimelist.net/anime/9253/Steins_Gate')"
4 "('Fruits Basket: The Final', 'https://myanimelist.net/anime/42938/Fruits_Basket__The_Final')"
5 "(""Gintama'"", 'https://myanimelist.net/anime/9969/Gintama')"
6 "('Hunter x Hunter (2011)', 'https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011')"
7 "('Ginga Eiyuu Densetsu', 'https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu')"
8 "(""Gintama': Enchousen"", 'https://myanimelist.net/anime/15417/Gintama__Enchousen')"
9 "('Gintama: The Final', 'https://myanimelist.net/anime/39486/Gintama__The_Final')"
10 "('Gintama.', 'https://myanimelist.net/anime/34096/Gintama')"
11 "('3-gatsu no Lion 2nd Season', 'https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season')"
12 "('Koe no Katachi', 'https://myanimelist.net/anime/28851/Koe_no_Katachi')"
13 "('Clannad: After Story', 'https://myanimelist.net/anime/4181/Clannad__After_Story')"
14 "('Gintama', 'https://myanimelist.net/anime/918/Gintama')"
15 "('Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare', 'https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare')"
16 "('Violet Evergarden Movie', 'https://myanimelist.net/anime/37987/Violet_Evergarden_Movie')"
17 "('Owarimonogatari 2nd Season', 'https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season')"
18 "('Shingeki no Kyojin: The Final Season', 'https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season')"
19 "('Code Geass: Hangyaku no Lelouch R2', 'https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2')"
20 "('Kimi no Na wa.', 'https://myanimelist.net/anime/32281/Kimi_no_Na_wa')"
21 "('Gintama.: Shirogane no Tamashii-hen - Kouhan-sen', 'https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen')"
22 "('Shiguang Dailiren', 'https://myanimelist.net/anime/44074/Shiguang_Dailiren')"
23 "('Mob Psycho 100 II', 'https://myanimelist.net/anime/37510/Mob_Psycho_100_II')"
24 "('Gintama.: Shirogane no Tamashii-hen', 'https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen')"
25 "('Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou', 'https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou')"
26 "('Kizumonogatari III: Reiketsu-hen', 'https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen')"
27 "('Monster', 'https://myanimelist.net/anime/19/Monster')"
28 "('Odd Taxi', 'https://myanimelist.net/anime/46102/Odd_Taxi')"
29 "('Sen to Chihiro no Kamikakushi', 'https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi')"
30 "('Monogatari Series: Second Season', 'https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season')"
31 "('Ousama Ranking', 'https://myanimelist.net/anime/40834/Ousama_Ranking')"
32 "('Cowboy Bebop', 'https://myanimelist.net/anime/1/Cowboy_Bebop')"
33 "('Kingdom 3rd Season', 'https://myanimelist.net/anime/40682/Kingdom_3rd_Season')"
34 "('Mo Dao Zu Shi: Wanjie Pian', 'https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian')"
35 "('Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen', 'https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen')"
36 "('Mushishi Zoku Shou 2nd Season', 'https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season')"
37 "(""Fate/stay night Movie: Heaven's Feel - III. Spring Song"", 'https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song')"
38 "('Hajime no Ippo', 'https://myanimelist.net/anime/263/Hajime_no_Ippo')"
39 "('Jujutsu Kaisen (TV)', 'https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV')"
40 "('Vinland Saga', 'https://myanimelist.net/anime/37521/Vinland_Saga')"
41 "('Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen', 'https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen')"
42 "('Mushishi Zoku Shou', 'https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou')"
43 "('Code Geass: Hangyaku no Lelouch', 'https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch')"
44 "('Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen')"
45 "('Made in Abyss', 'https://myanimelist.net/anime/34599/Made_in_Abyss')"
46 "('Made in Abyss Movie 3: Fukaki Tamashii no Reimei', 'https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei')"
47 "('Ashita no Joe 2', 'https://myanimelist.net/anime/2921/Ashita_no_Joe_2')"
48 "('Evangelion: 3.0+1.0 Thrice Upon a Time', 'https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time')"
49 "('Great Teacher Onizuka', 'https://myanimelist.net/anime/245/Great_Teacher_Onizuka')"
50 "('Mononoke Hime', 'https://myanimelist.net/anime/164/Mononoke_Hime')"
51 "('Shigatsu wa Kimi no Uso', 'https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso')"
52 "('Mushishi', 'https://myanimelist.net/anime/457/Mushishi')"
53 "('Haikyuu!! Second Season', 'https://myanimelist.net/anime/28891/Haikyuu_Second_Season')"
54 "('Hajime no Ippo: New Challenger', 'https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger')"
55 "('Howl no Ugoku Shiro', 'https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro')"
56 "('Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen', 'https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen')"
57 "('Natsume Yuujinchou Shi', 'https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi')"
58 "('Violet Evergarden', 'https://myanimelist.net/anime/33352/Violet_Evergarden')"
59 "('Natsume Yuujinchou Roku', 'https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku')"
60 "('Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai')"
61 "('Tengen Toppa Gurren Lagann', 'https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann')"
62 "('86 Part 2', 'https://myanimelist.net/anime/48569/86_Part_2')"
63 "('Death Note', 'https://myanimelist.net/anime/1535/Death_Note')"
